Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,class
2012-11-01 00:00:00,1083,3,NB_OS,1,North,26.0,0,,18526,0,1,25,0,0,0,0.0,0
2012-11-01 01:00:00,1083,3,NB_OS,1,North,13.0,0,,19530,0,0,13,0,0,0,0.0,0
2012-11-01 02:00:00,1083,3,NB_OS,1,North,6.0,0,,16389,0,0,6,0,0,0,0.0,0
2012-11-01 03:00:00,1083,3,NB_OS,1,North,13.0,0,,19081,0,0,13,0,0,0,0.0,0
2012-11-01 04:00:00,1083,3,NB_OS,1,North,6.0,0,,18611,167,0,5,0,1,0,0.0,0
2012-11-01 05:00:00,1083,3,NB_OS,1,North,42.0,0,,18466,24,0,41,0,1,0,0.0,0
2012-11-01 06:00:00,1083,3,NB_OS,1,North,325.0,0,,17416,31,0,314,1,9,1,0.0,0
2012-11-01 07:00:00,1083,3,NB_OS,1,North,1213.0,0,,14248,17,1,1188,2,20,1,1.0,0
2012-11-01 08:00:00,1083,3,NB_OS,1,North,1155.0,0,,14023,20,3,1124,4,21,2,0.0,0
2012-11-01 09:00:00,1083,3,NB_OS,1,North,752.0,0,,16509,20,5,730,2,15,0,0.0,0
2012-11-01 10:00:00,1083,3,NB_OS,1,North,537.0,0,,17036,43,2,512,0,23,0,0.0,0
2012-11-01 11:00:00,1083,3,NB_OS,1,North,525.0,0,,16926,38,3,500,2,20,0,0.0,0
2012-11-01 12:00:00,1083,3,NB_OS,1,North,511.0,0,,16920,29,1,494,1,15,0,0.0,0
2012-11-01 13:00:00,1083,3,NB_OS,1,North,501.0,0,,16811,54,1,472,1,27,0,0.0,0
2012-11-01 14:00:00,1083,3,NB_OS,1,North,499.0,0,,17200,42,1,474,3,21,0,0.0,0
2012-11-01 15:00:00,1083,3,NB_OS,1,North,499.0,0,,16913,28,1,484,0,14,0,0.0,0
2012-11-01 16:00:00,1083,3,NB_OS,1,North,741.0,0,,15433,24,3,719,1,18,0,0.0,0
2012-11-01 17:00:00,1083,3,NB_OS,1,North,857.0,0,,13124,14,5,840,0,11,1,0.0,0
2012-11-01 18:00:00,1083,3,NB_OS,1,North,653.0,0,,16268,9,2,645,0,6,0,0.0,0
2012-11-01 19:00:00,1083,3,NB_OS,1,North,470.0,0,,17372,11,3,462,0,5,0,0.0,0
2012-11-01 20:00:00,1083,3,NB_OS,1,North,290.0,0,,17951,3,2,287,0,1,0,0.0,0
2012-11-01 21:00:00,1083,3,NB_OS,1,North,178.0,0,,17754,11,0,176,0,2,0,0.0,0
2012-11-01 22:00:00,1083,3,NB_OS,1,North,137.0,0,,18015,22,2,132,0,3,0,0.0,0
2012-11-01 23:00:00,1083,3,NB_OS,1,North,65.0,0,,18380,0,2,63,0,0,0,0.0,0
2012-11-02 00:00:00,1083,3,NB_OS,1,North,31.0,0,,17984,0,0,31,0,0,0,0.0,0
2012-11-02 01:00:00,1083,3,NB_OS,1,North,8.0,0,,21320,250,0,6,0,2,0,0.0,0
2012-11-02 02:00:00,1083,3,NB_OS,1,North,4.0,0,,18194,0,0,4,0,0,0,0.0,0
2012-11-02 03:00:00,1083,3,NB_OS,1,North,7.0,0,,18056,0,0,7,0,0,0,0.0,0
2012-11-02 04:00:00,1083,3,NB_OS,1,North,4.0,0,,18680,0,0,4,0,0,0,0.0,0
2012-11-02 05:00:00,1083,3,NB_OS,1,North,31.0,0,,18513,32,1,29,0,1,0,0.0,0
2012-11-02 06:00:00,1083,3,NB_OS,1,North,295.0,0,,17705,24,1,287,0,6,1,0.0,0
2012-11-02 07:00:00,1083,3,NB_OS,1,North,1067.0,0,,15264,21,1,1041,3,21,1,0.0,0
2012-11-02 08:00:00,1083,3,NB_OS,1,North,1093.0,0,,15560,21,3,1067,0,23,0,0.0,0
2012-11-02 09:00:00,1083,3,NB_OS,1,North,751.0,0,,16533,25,5,727,0,19,0,0.0,0
2012-11-02 10:00:00,1083,3,NB_OS,1,North,572.0,0,,17432,26,2,554,1,15,0,0.0,0
2012-11-02 11:00:00,1083,3,NB_OS,1,North,489.0,0,,17501,37,0,471,0,18,0,0.0,0
2012-11-02 12:00:00,1083,3,NB_OS,1,North,565.0,0,,17697,25,3,548,0,14,0,0.0,0
2012-11-02 13:00:00,1083,3,NB_OS,1,North,579.0,0,,17052,24,3,562,0,14,0,0.0,0
2012-11-02 14:00:00,1083,3,NB_OS,1,North,542.0,0,,16960,42,4,513,2,22,1,0.0,0
2012-11-02 15:00:00,1083,3,NB_OS,1,North,597.0,0,,16776,20,1,583,1,12,0,0.0,0
2012-11-02 16:00:00,1083,3,NB_OS,1,North,814.0,0,,15736,21,6,790,1,17,0,0.0,0
2012-11-02 17:00:00,1083,3,NB_OS,1,North,768.0,0,,15622,13,9,749,0,10,0,0.0,0
2012-11-02 18:00:00,1083,3,NB_OS,1,North,619.0,0,,16355,11,1,611,0,7,0,0.0,0
2012-11-02 19:00:00,1083,3,NB_OS,1,North,417.0,0,,17448,17,3,407,0,7,0,0.0,0
2012-11-02 20:00:00,1083,3,NB_OS,1,North,248.0,0,,17884,8,2,244,0,2,0,0.0,0
2012-11-02 21:00:00,1083,3,NB_OS,1,North,204.0,0,,17870,0,4,200,0,0,0,0.0,0
2012-11-02 22:00:00,1083,3,NB_OS,1,North,173.0,0,,17728,0,2,170,1,0,0,0.0,0
2012-11-02 23:00:00,1083,3,NB_OS,1,North,110.0,0,,18295,18,0,108,0,2,0,0.0,0
2012-11-03 00:00:00,1083,3,NB_OS,1,North,48.0,0,,18663,21,0,47,0,1,0,0.0,0
2012-11-03 01:00:00,1083,3,NB_OS,1,North,33.0,0,,19335,0,0,33,0,0,0,0.0,0
2012-11-03 02:00:00,1083,3,NB_OS,1,North,18.0,0,,20123,0,0,18,0,0,0,0.0,0
2012-11-03 03:00:00,1083,3,NB_OS,1,North,11.0,0,,19192,91,0,10,0,1,0,0.0,0
2012-11-03 04:00:00,1083,3,NB_OS,1,North,11.0,0,,18737,0,0,11,0,0,0,0.0,0
2012-11-03 05:00:00,1083,3,NB_OS,1,North,26.0,0,,19402,38,0,25,0,1,0,0.0,0
2012-11-03 06:00:00,1083,3,NB_OS,1,North,80.0,0,,18142,38,0,77,0,3,0,0.0,0
2012-11-03 07:00:00,1083,3,NB_OS,1,North,186.0,0,,18734,22,2,179,1,4,0,0.0,0
2012-11-03 08:00:00,1083,3,NB_OS,1,North,344.0,0,,17951,17,1,337,0,6,0,0.0,0
2012-11-03 09:00:00,1083,3,NB_OS,1,North,591.0,0,,16766,7,3,583,0,4,0,1.0,0
2012-11-03 10:00:00,1083,3,NB_OS,1,North,549.0,0,,14443,16,5,937,0,14,1,0.0,0
2012-11-03 11:00:00,1083,3,NB_OS,1,North,509.0,0,,8777,25,4,1175,1,18,13,4.0,0
2012-11-03 12:00:00,1083,3,NB_OS,1,North,545.0,0,,11743,13,1,845,2,5,6,3.0,0
2012-11-03 13:00:00,1083,3,NB_OS,1,North,475.0,0,,17570,6,3,469,0,3,0,0.0,0
2012-11-03 14:00:00,1083,3,NB_OS,1,North,424.0,0,,17453,12,2,416,1,5,0,0.0,0
2012-11-03 15:00:00,1083,3,NB_OS,1,North,453.0,0,,15832,18,2,442,1,8,0,0.0,0
2012-11-03 16:00:00,1083,3,NB_OS,1,North,452.0,0,,16765,9,1,446,1,4,0,0.0,0
2012-11-03 17:00:00,1083,3,NB_OS,1,North,420.0,0,,17093,10,0,416,0,4,0,0.0,0
2012-11-03 18:00:00,1083,3,NB_OS,1,North,393.0,0,,17667,5,1,390,0,2,0,0.0,0
2012-11-03 19:00:00,1083,3,NB_OS,1,North,301.0,0,,17753,3,1,299,0,1,0,0.0,0
2012-11-03 20:00:00,1083,3,NB_OS,1,North,253.0,0,,18273,32,0,245,0,8,0,0.0,0
2012-11-03 21:00:00,1083,3,NB_OS,1,North,206.0,0,,17675,15,0,203,0,3,0,0.0,0
2012-11-03 22:00:00,1083,3,NB_OS,1,North,164.0,0,,18528,12,0,162,0,2,0,0.0,0
2012-11-03 23:00:00,1083,3,NB_OS,1,North,143.0,0,,17558,14,1,140,0,2,0,0.0,0
2012-11-04 00:00:00,1083,3,NB_OS,1,North,113.0,0,,18011,18,0,111,0,2,0,0.0,0
2012-11-04 01:00:00,1083,3,NB_OS,1,North,54.0,0,,19017,0,1,53,0,0,0,0.0,0
2012-11-04 02:00:00,1083,3,NB_OS,1,North,36.0,0,,18565,111,0,32,0,2,2,0.0,0
2012-11-04 03:00:00,1083,3,NB_OS,1,North,28.0,0,,19375,71,0,26,0,2,0,0.0,0
2012-11-04 04:00:00,1083,3,NB_OS,1,North,11.0,0,,18937,0,0,35,0,0,0,0.0,0
2012-11-04 05:00:00,1083,3,NB_OS,1,North,31.0,0,,18522,0,0,31,0,0,0,0.0,0
2012-11-04 06:00:00,1083,3,NB_OS,1,North,60.0,0,,18120,33,0,58,0,2,0,0.0,0
2012-11-04 07:00:00,1083,3,NB_OS,1,North,100.0,0,,18269,40,0,96,0,4,0,0.0,0
2012-11-04 08:00:00,1083,3,NB_OS,1,North,158.0,0,,17799,19,0,155,0,3,0,0.0,0
2012-11-04 09:00:00,1083,3,NB_OS,1,North,347.0,0,,17023,14,4,337,1,5,0,0.0,0
2012-11-04 10:00:00,1083,3,NB_OS,1,North,465.0,0,,16817,11,4,455,1,5,0,0.0,0
2012-11-04 11:00:00,1083,3,NB_OS,1,North,542.0,0,,16061,9,4,533,0,4,1,0.0,0
2012-11-04 12:00:00,1083,3,NB_OS,1,North,641.0,0,,16112,9,2,632,1,6,0,0.0,0
2012-11-04 13:00:00,1083,3,NB_OS,1,North,653.0,0,,15737,6,2,647,0,4,0,0.0,0
2012-11-04 14:00:00,1083,3,NB_OS,1,North,429.0,0,,17196,23,3,416,0,10,0,0.0,0
2012-11-04 15:00:00,1083,3,NB_OS,1,North,567.5,0,,17689,3,2,364,1,1,0,0.0,0
2012-11-04 16:00:00,1083,3,NB_OS,1,North,436.0,0,,17102,5,4,430,0,2,0,0.0,0
2012-11-04 17:00:00,1083,3,NB_OS,1,North,351.0,0,,17478,11,3,344,0,4,0,0.0,0
2012-11-04 18:00:00,1083,3,NB_OS,1,North,275.0,0,,17390,11,0,272,0,3,0,0.0,0
2012-11-04 19:00:00,1083,3,NB_OS,1,North,235.0,0,,17540,4,1,233,0,1,0,0.0,0
2012-11-04 20:00:00,1083,3,NB_OS,1,North,195.0,0,,18187,5,0,194,0,1,0,0.0,0
2012-11-04 21:00:00,1083,3,NB_OS,1,North,129.0,0,,17763,23,0,126,0,3,0,0.0,0
2012-11-04 22:00:00,1083,3,NB_OS,1,North,88.0,0,,18870,11,2,85,0,1,0,0.0,0
2012-11-04 23:00:00,1083,3,NB_OS,1,North,53.0,0,,17615,0,0,53,0,0,0,0.0,0
2012-11-05 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18426,0,0,18,0,0,0,0.0,0
2012-11-05 01:00:00,1083,3,NB_OS,1,North,3.0,0,,16944,0,0,3,0,0,0,0.0,0
2012-11-05 02:00:00,1083,3,NB_OS,1,North,4.0,0,,17986,250,0,3,0,1,0,0.0,0
2012-11-05 03:00:00,1083,3,NB_OS,1,North,1.0,0,,17500,0,0,1,0,0,0,0.0,0
2012-11-05 04:00:00,1083,3,NB_OS,1,North,3.0,0,,18796,0,0,3,0,0,0,0.0,0
2012-11-05 05:00:00,1083,3,NB_OS,1,North,48.0,0,,18038,62,1,44,0,3,0,0.0,0
2012-11-05 06:00:00,1083,3,NB_OS,1,North,317.0,0,,17399,13,2,311,0,4,0,0.0,0
2012-11-05 07:00:00,1083,3,NB_OS,1,North,1200.0,0,,11479,18,1,1172,3,17,4,1.0,0
2012-11-05 08:00:00,1083,3,NB_OS,1,North,1264.0,0,,7862,21,3,1229,2,13,13,1.0,0
2012-11-05 09:00:00,1083,3,NB_OS,1,North,956.0,0,,14437,23,5,925,4,20,2,0.0,0
2012-11-05 10:00:00,1083,3,NB_OS,1,North,524.0,0,,17165,52,3,493,1,27,0,0.0,0
2012-11-05 11:00:00,1083,3,NB_OS,1,North,460.0,0,,17303,37,2,440,1,17,0,0.0,0
2012-11-05 12:00:00,1083,3,NB_OS,1,North,495.0,0,,17380,28,1,478,2,12,2,0.0,0
2012-11-05 13:00:00,1083,3,NB_OS,1,North,467.0,0,,17257,34,0,450,1,16,0,0.0,0
2012-11-05 14:00:00,1083,3,NB_OS,1,North,481.0,0,,16688,33,6,457,2,16,0,0.0,0
2012-11-05 15:00:00,1083,3,NB_OS,1,North,493.0,0,,16415,43,5,466,0,21,0,1.0,0
2012-11-05 16:00:00,1083,3,NB_OS,1,North,676.0,0,,15752,31,3,651,1,21,0,0.0,0
2012-11-05 17:00:00,1083,3,NB_OS,1,North,842.0,0,,14328,13,3,828,0,11,0,0.0,0
2012-11-05 18:00:00,1083,3,NB_OS,1,North,674.0,0,,15480,7,3,665,1,5,0,0.0,0
2012-11-05 19:00:00,1083,3,NB_OS,1,North,339.0,0,,17542,12,0,335,0,4,0,0.0,0
2012-11-05 20:00:00,1083,3,NB_OS,1,North,238.0,0,,18212,4,1,236,0,1,0,0.0,0
2012-11-06 15:00:00,1083,3,NB_OS,1,North,486.0,0,,16581,47,2,458,2,22,1,1.0,0
2012-11-06 16:00:00,1083,3,NB_OS,1,North,718.0,0,,15263,26,2,694,3,19,0,0.0,0
2012-11-06 17:00:00,1083,3,NB_OS,1,North,849.0,0,,14176,11,4,836,0,9,0,0.0,0
2012-11-06 18:00:00,1083,3,NB_OS,1,North,811.0,0,,14547,5,4,802,0,4,0,1.0,0
2012-11-06 19:00:00,1083,3,NB_OS,1,North,483.0,0,,16963,19,4,470,0,8,1,0.0,0
2012-11-06 20:00:00,1083,3,NB_OS,1,North,219.0,0,,17844,9,4,213,0,2,0,0.0,0
2012-11-06 21:00:00,1083,3,NB_OS,1,North,179.0,0,,17793,11,0,177,0,2,0,0.0,0
2012-11-06 22:00:00,1083,3,NB_OS,1,North,133.0,0,,17646,8,0,131,1,1,0,0.0,0
2012-11-06 23:00:00,1083,3,NB_OS,1,North,56.0,0,,18681,18,1,54,0,1,0,0.0,0
2012-11-07 00:00:00,1083,3,NB_OS,1,North,28.0,0,,18809,0,1,27,0,0,0,0.0,0
2012-11-07 01:00:00,1083,3,NB_OS,1,North,8.0,0,,19618,0,0,8,0,0,0,0.0,0
2012-11-07 02:00:00,1083,3,NB_OS,1,North,4.0,0,,18472,0,0,4,0,0,0,0.0,0
2012-11-07 03:00:00,1083,3,NB_OS,1,North,4.0,0,,17361,0,0,4,0,0,0,0.0,0
2012-11-07 04:00:00,1083,3,NB_OS,1,North,3.0,0,,16481,0,0,3,0,0,0,0.0,0
2012-11-07 05:00:00,1083,3,NB_OS,1,North,50.0,0,,18422,40,2,46,0,2,0,0.0,0
2012-11-07 06:00:00,1083,3,NB_OS,1,North,355.0,0,,17837,11,2,349,0,4,0,0.0,0
2012-11-07 07:00:00,1083,3,NB_OS,1,North,1220.0,0,,11491,19,3,1184,4,20,3,3.0,0
2012-11-07 08:00:00,1083,3,NB_OS,1,North,1127.0,0,,7327,44,9,1059,1,25,25,2.0,0
2012-11-07 09:00:00,1083,3,NB_OS,1,North,1029.0,0,,11577,38,4,985,0,30,9,1.0,0
2012-11-07 10:00:00,1083,3,NB_OS,1,North,527.0,0,,17093,36,1,507,0,19,0,0.0,0
2012-11-07 11:00:00,1083,3,NB_OS,1,North,516.0,0,,17207,41,0,494,1,20,1,0.0,0
2012-11-07 12:00:00,1083,3,NB_OS,1,North,507.0,0,,16988,47,3,478,2,22,2,0.0,0
2012-11-07 13:00:00,1083,3,NB_OS,1,North,554.0,0,,16609,34,7,526,2,18,1,0.0,0
2012-11-07 14:00:00,1083,3,NB_OS,1,North,493.0,0,,16977,32,1,476,0,16,0,0.0,0
2012-11-07 15:00:00,1083,3,NB_OS,1,North,549.0,0,,16591,35,1,527,2,19,0,0.0,0
2012-11-07 16:00:00,1083,3,NB_OS,1,North,680.0,0,,16016,21,2,663,1,14,0,0.0,0
2012-11-07 17:00:00,1083,3,NB_OS,1,North,806.0,0,,15016,14,4,789,2,11,0,0.0,0
2012-11-07 18:00:00,1083,3,NB_OS,1,North,666.0,0,,16079,17,4,651,0,11,0,0.0,0
2012-11-07 19:00:00,1083,3,NB_OS,1,North,408.0,0,,17487,15,1,400,1,6,0,0.0,0
2012-11-07 20:00:00,1083,3,NB_OS,1,North,233.0,0,,18004,0,3,230,0,0,0,0.0,0
2012-11-07 21:00:00,1083,3,NB_OS,1,North,181.0,0,,17724,11,0,179,0,2,0,0.0,0
2012-11-07 22:00:00,1083,3,NB_OS,1,North,146.0,0,,17979,14,2,142,0,2,0,0.0,0
2012-11-07 23:00:00,1083,3,NB_OS,1,North,75.0,0,,18274,0,0,75,0,0,0,0.0,0
2012-11-08 00:00:00,1083,3,NB_OS,1,North,27.0,0,,18714,0,0,27,0,0,0,0.0,0
2012-11-08 01:00:00,1083,3,NB_OS,1,North,8.0,0,,16910,0,0,8,0,0,0,0.0,0
2012-11-08 02:00:00,1083,3,NB_OS,1,North,7.0,0,,16667,0,0,7,0,0,0,0.0,0
2012-11-08 03:00:00,1083,3,NB_OS,1,North,8.0,0,,18403,125,0,7,0,1,0,0.0,0
2012-11-08 04:00:00,1083,3,NB_OS,1,North,12.0,0,,19954,83,0,11,0,1,0,0.0,0
2012-11-08 05:00:00,1083,3,NB_OS,1,North,44.0,0,,19230,45,1,41,0,2,0,0.0,0
2012-11-08 06:00:00,1083,3,NB_OS,1,North,320.0,0,,17872,12,1,315,0,4,0,0.0,0
2012-11-08 07:00:00,1083,3,NB_OS,1,North,1219.0,0,,11334,22,2,1187,2,22,5,0.0,0
2012-11-08 08:00:00,1083,3,NB_OS,1,North,1146.0,0,,7368,28,2,1096,5,16,16,6.0,0
2012-11-08 09:00:00,1083,3,NB_OS,1,North,1040.0,0,,11671,31,4,997,0,27,5,2.0,0
2012-11-08 10:00:00,1083,3,NB_OS,1,North,567.0,0,,16691,37,2,544,0,21,0,0.0,0
2012-11-08 11:00:00,1083,3,NB_OS,1,North,469.0,0,,16840,30,2,453,0,13,1,0.0,0
2012-11-08 12:00:00,1083,3,NB_OS,1,North,488.0,0,,17290,41,2,466,0,19,1,0.0,0
2012-11-08 13:00:00,1083,3,NB_OS,1,North,539.0,0,,16885,35,0,520,0,18,1,0.0,0
2012-11-08 14:00:00,1083,3,NB_OS,1,North,467.0,0,,16743,28,1,453,0,13,0,0.0,0
2012-11-08 15:00:00,1083,3,NB_OS,1,North,544.0,0,,16634,42,0,521,0,23,0,0.0,0
2012-11-08 16:00:00,1083,3,NB_OS,1,North,677.0,0,,15678,31,3,650,2,21,0,1.0,0
2012-11-08 17:00:00,1083,3,NB_OS,1,North,800.0,0,,14469,20,5,779,0,16,0,0.0,0
2012-11-08 18:00:00,1083,3,NB_OS,1,North,811.0,0,,15260,4,2,806,0,2,1,0.0,0
2012-11-08 19:00:00,1083,3,NB_OS,1,North,435.0,0,,17405,9,4,427,0,4,0,0.0,0
2012-11-08 20:00:00,1083,3,NB_OS,1,North,266.0,0,,17979,8,0,264,0,2,0,0.0,0
2012-11-08 21:00:00,1083,3,NB_OS,1,North,195.0,0,,18426,21,2,189,0,4,0,0.0,0
2012-11-08 22:00:00,1083,3,NB_OS,1,North,132.0,0,,17942,0,1,131,0,0,0,0.0,0
2012-11-08 23:00:00,1083,3,NB_OS,1,North,80.0,0,,18208,0,0,80,0,0,0,0.0,0
2012-11-09 00:00:00,1083,3,NB_OS,1,North,23.0,0,,18466,0,0,23,0,0,0,0.0,0
2012-11-09 01:00:00,1083,3,NB_OS,1,North,10.0,0,,17944,0,0,10,0,0,0,0.0,0
2012-11-09 02:00:00,1083,3,NB_OS,1,North,10.0,0,,18194,0,0,10,0,0,0,0.0,0
2012-11-09 03:00:00,1083,3,NB_OS,1,North,3.0,0,,19815,0,0,3,0,0,0,0.0,0
2012-11-09 04:00:00,1083,3,NB_OS,1,North,5.0,0,,18667,0,0,5,0,0,0,0.0,0
2012-11-09 05:00:00,1083,3,NB_OS,1,North,51.0,0,,18769,39,2,47,0,2,0,0.0,0
2012-11-09 06:00:00,1083,3,NB_OS,1,North,319.0,0,,17847,16,1,313,0,5,0,0.0,0
2012-11-09 07:00:00,1083,3,NB_OS,1,North,1224.0,0,,13068,28,1,1184,3,31,3,2.0,0
2012-11-09 08:00:00,1083,3,NB_OS,1,North,1202.0,0,,8851,39,10,1136,6,33,14,2.0,0
2012-11-09 09:00:00,1083,3,NB_OS,1,North,856.0,0,,16208,23,6,829,1,19,1,0.0,0
2012-11-09 10:00:00,1083,3,NB_OS,1,North,518.0,0,,17439,39,2,496,0,20,0,0.0,0
2012-11-09 11:00:00,1083,3,NB_OS,1,North,563.0,0,,16831,46,1,535,1,26,0,0.0,0
2012-11-09 12:00:00,1083,3,NB_OS,1,North,583.0,0,,16748,45,1,556,0,26,0,0.0,0
2012-11-09 13:00:00,1083,3,NB_OS,1,North,552.0,0,,16764,27,0,535,2,14,1,0.0,0
2012-11-09 14:00:00,1083,3,NB_OS,1,North,500.0,0,,16827,42,4,475,0,20,1,0.0,0
2012-11-09 15:00:00,1083,3,NB_OS,1,North,615.0,0,,15684,33,1,594,0,19,1,0.0,0
2012-11-09 16:00:00,1083,3,NB_OS,1,North,730.0,0,,14777,29,4,704,1,21,0,0.0,0
2012-11-09 17:00:00,1083,3,NB_OS,1,North,832.0,0,,12900,19,4,809,2,14,2,0.0,0
2012-11-09 18:00:00,1083,3,NB_OS,1,North,603.0,0,,16124,7,2,597,0,4,0,0.0,0
2012-11-09 19:00:00,1083,3,NB_OS,1,North,446.0,0,,17327,7,2,441,0,3,0,0.0,0
2012-11-09 20:00:00,1083,3,NB_OS,1,North,228.0,0,,18309,9,1,225,0,2,0,0.0,0
2012-11-09 21:00:00,1083,3,NB_OS,1,North,170.0,0,,17886,0,0,170,0,0,0,0.0,0
2012-11-09 22:00:00,1083,3,NB_OS,1,North,127.0,0,,18204,0,0,127,0,0,0,0.0,0
2012-11-09 23:00:00,1083,3,NB_OS,1,North,92.0,0,,18234,11,0,91,0,1,0,0.0,0
2012-11-10 00:00:00,1083,3,NB_OS,1,North,60.0,0,,19060,17,0,59,0,1,0,0.0,0
2012-11-10 01:00:00,1083,3,NB_OS,1,North,33.0,0,,19596,0,0,33,0,0,0,0.0,0
2012-11-10 02:00:00,1083,3,NB_OS,1,North,26.0,0,,19989,0,0,26,0,0,0,0.0,0
2012-11-10 03:00:00,1083,3,NB_OS,1,North,14.0,0,,19464,0,0,14,0,0,0,0.0,0
2012-11-10 04:00:00,1083,3,NB_OS,1,North,11.0,0,,18621,74,0,25,0,2,0,0.0,0
2012-11-10 05:00:00,1083,3,NB_OS,1,North,30.0,0,,18250,0,1,29,0,0,0,0.0,0
2012-11-10 06:00:00,1083,3,NB_OS,1,North,76.0,0,,18600,0,0,75,1,0,0,0.0,0
2012-11-10 07:00:00,1083,3,NB_OS,1,North,160.0,0,,18356,19,3,154,0,3,0,0.0,0
2012-11-10 08:00:00,1083,3,NB_OS,1,North,337.0,0,,18112,12,3,330,0,4,0,0.0,0
2012-11-10 09:00:00,1083,3,NB_OS,1,North,470.0,0,,17520,11,1,461,2,5,0,1.0,0
2012-11-10 10:00:00,1083,3,NB_OS,1,North,440.0,0,,17318,14,1,433,0,6,0,0.0,0
2012-11-10 11:00:00,1083,3,NB_OS,1,North,536.0,0,,17279,9,2,528,1,5,0,0.0,0
2012-11-10 12:00:00,1083,3,NB_OS,1,North,608.0,0,,16961,20,3,593,0,12,0,0.0,0
2012-11-10 13:00:00,1083,3,NB_OS,1,North,490.0,0,,17448,14,2,480,1,7,0,0.0,0
2012-11-10 14:00:00,1083,3,NB_OS,1,North,536.0,0,,17049,11,4,525,1,6,0,0.0,0
2012-11-10 15:00:00,1083,3,NB_OS,1,North,492.0,0,,16950,2,0,491,0,1,0,0.0,0
2012-11-10 16:00:00,1083,3,NB_OS,1,North,515.0,0,,16675,8,3,508,0,4,0,0.0,0
2012-11-10 17:00:00,1083,3,NB_OS,1,North,413.0,0,,17072,10,1,408,0,4,0,0.0,0
2012-11-10 18:00:00,1083,3,NB_OS,1,North,358.0,0,,17470,14,1,352,0,5,0,0.0,0
2012-11-10 19:00:00,1083,3,NB_OS,1,North,320.0,0,,17971,6,2,316,0,2,0,0.0,0
2012-11-10 20:00:00,1083,3,NB_OS,1,North,226.0,0,,18052,13,2,221,0,3,0,0.0,0
2012-11-10 21:00:00,1083,3,NB_OS,1,North,168.0,0,,18393,12,1,165,0,2,0,0.0,0
2012-11-10 22:00:00,1083,3,NB_OS,1,North,122.0,0,,18436,16,0,120,0,2,0,0.0,0
2012-11-10 23:00:00,1083,3,NB_OS,1,North,103.0,0,,18608,0,0,103,0,0,0,0.0,0
2012-11-11 00:00:00,1083,3,NB_OS,1,North,80.0,0,,18052,0,0,80,0,0,0,0.0,0
2012-11-11 01:00:00,1083,3,NB_OS,1,North,10.0,0,,18966,12,0,82,0,1,0,0.0,0
2012-11-11 02:00:00,1083,3,NB_OS,1,North,42.0,0,,19643,0,0,42,0,0,0,0.0,0
2012-11-11 03:00:00,1083,3,NB_OS,1,North,34.0,0,,19673,118,1,29,0,4,0,0.0,0
2012-11-11 04:00:00,1083,3,NB_OS,1,North,22.0,0,,18902,0,0,22,0,0,0,0.0,0
2012-11-11 05:00:00,1083,3,NB_OS,1,North,19.0,0,,16842,53,1,17,0,1,0,0.0,0
2012-11-11 06:00:00,1083,3,NB_OS,1,North,48.0,0,,18391,42,1,45,0,2,0,0.0,0
2012-11-11 07:00:00,1083,3,NB_OS,1,North,74.0,0,,18990,68,0,69,0,5,0,0.0,0
2012-11-11 08:00:00,1083,3,NB_OS,1,North,119.0,0,,17801,8,1,117,0,1,0,0.0,0
2012-11-11 09:00:00,1083,3,NB_OS,1,North,256.0,0,,18164,4,1,254,0,1,0,0.0,0
2012-11-11 10:00:00,1083,3,NB_OS,1,North,549.0,0,,17743,5,0,386,0,2,0,0.0,0
2012-11-11 11:00:00,1083,3,NB_OS,1,North,463.0,0,,17136,6,2,457,0,3,0,1.0,0
2012-11-11 12:00:00,1083,3,NB_OS,1,North,545.0,0,,16970,3,7,693,0,2,0,0.0,0
2012-11-11 13:00:00,1083,3,NB_OS,1,North,484.0,0,,17418,4,2,480,0,2,0,0.0,0
2012-11-11 14:00:00,1083,3,NB_OS,1,North,467.0,0,,17342,6,4,459,1,3,0,0.0,0
2012-11-11 15:00:00,1083,3,NB_OS,1,North,441.0,0,,16988,9,1,436,0,4,0,0.0,0
2012-11-11 16:00:00,1083,3,NB_OS,1,North,409.0,0,,16915,12,1,403,0,5,0,0.0,0
2012-11-11 17:00:00,1083,3,NB_OS,1,North,361.0,0,,17186,8,2,356,0,3,0,0.0,0
2012-11-11 18:00:00,1083,3,NB_OS,1,North,326.0,0,,17272,3,1,324,0,1,0,0.0,0
2012-11-11 19:00:00,1083,3,NB_OS,1,North,295.0,0,,17653,3,2,292,0,1,0,0.0,0
2012-11-11 20:00:00,1083,3,NB_OS,1,North,169.0,0,,17991,6,0,168,0,1,0,0.0,0
2012-11-11 21:00:00,1083,3,NB_OS,1,North,160.0,0,,18340,0,1,159,0,0,0,0.0,0
2012-11-11 22:00:00,1083,3,NB_OS,1,North,94.0,0,,18410,11,0,93,0,1,0,0.0,0
2012-11-11 23:00:00,1083,3,NB_OS,1,North,57.0,0,,18864,0,1,56,0,0,0,0.0,0
2012-11-12 00:00:00,1083,3,NB_OS,1,North,29.0,0,,18879,0,0,29,0,0,0,0.0,0
